../Instances/CVRP/X-n157-k13.vrp;1;17767;0.003002
../Instances/CVRP/X-n157-k13.vrp;1;17317;0.004806
../Instances/CVRP/X-n157-k13.vrp;1;17203;0.006804
../Instances/CVRP/X-n157-k13.vrp;1;17121;0.027084
../Instances/CVRP/X-n157-k13.vrp;1;17112;0.03992
../Instances/CVRP/X-n157-k13.vrp;1;17023;0.084181
../Instances/CVRP/X-n157-k13.vrp;1;16972;0.119009
../Instances/CVRP/X-n157-k13.vrp;1;16932;0.206723
../Instances/CVRP/X-n157-k13.vrp;1;16923;0.30184
../Instances/CVRP/X-n157-k13.vrp;1;16919;0.480815
../Instances/CVRP/X-n157-k13.vrp;1;16915;0.655228
../Instances/CVRP/X-n157-k13.vrp;1;16914;0.660707
../Instances/CVRP/X-n157-k13.vrp;1;16913;0.691532
../Instances/CVRP/X-n157-k13.vrp;1;16908;0.923676
../Instances/CVRP/X-n157-k13.vrp;1;16904;1.19444
../Instances/CVRP/X-n157-k13.vrp;1;16900;1.38994
../Instances/CVRP/X-n157-k13.vrp;1;16897;3.61395
../Instances/CVRP/X-n157-k13.vrp;1;16885;6.17148
../Instances/CVRP/X-n157-k13.vrp;1;16877;7.01585
../Instances/CVRP/X-n157-k13.vrp;1;16876;8.90827
