,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,FirstImpCost,FirstImpQuantity,FirstImpLogisticRatio,TimeAtFirstImprovement,BestCostAt30s,BestQuantityAt30s,BestLogisticRatioAt30s,TimeAt30s,BestCostAt60s,BestQuantityAt60s,BestLogisticRatioAt60s,TimeAt60s,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_iteration,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n50_2.dat,6,51,2,29305,13537,2.16481,0,29305,13537,2.16481,0,0,0,0,-nan,0,0,10920,13997,0.780167,35,29451,13034,2.25955,0,29451,13034,2.25955,0,0,0,0,-nan,0,0,10911,13984,0.780249,26,29778,13050,2.28184,0,29778,13050,2.28184,0,0,0,0,-nan,0,0,10911,13984,0.780249,4,30669,13703,2.23812,0,30669,13703,2.23812,0,0,0,0,-nan,0,0,30669,13703,2.23812,0,30650,13337,2.29812,0,30650,13337,2.29812,0,0,0,0,-nan,0,0,30650,13337,2.29812,0,28699,13537,2.12004,0,10920,13997,0.780167,30,10920,13997,0.780167,60,10920,13997,0.780167,96816,10,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n50_2.dat,6,51,2,31785,13478,2.35829,0,31785,13478,2.35829,0,0,0,0,-nan,0,0,11781,14941,0.788501,27,33177,13606,2.43841,0,33177,13606,2.43841,0,0,0,0,-nan,0,0,11697,14811,0.789751,18,34820,13158,2.6463,0,34820,13158,2.6463,0,0,0,0,-nan,0,0,11697,14811,0.789751,19,33040,13105,2.52118,0,33040,13105,2.52118,0,0,0,0,-nan,0,0,11681,14737,0.792631,1,34655,13115,2.64239,0,34655,13115,2.64239,0,0,0,0,-nan,0,0,34655,13115,2.64239,0,31213,13478,2.31585,0,11781,14941,0.788501,30,11781,14941,0.788501,60,11781,14941,0.788501,98127,11,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs3n50_2.dat,6,51,2,29616,13726,2.15766,0,29616,13726,2.15766,0,0,0,0,-nan,0,0,10570,14497,0.729116,29,29322,13564,2.16175,0,29322,13564,2.16175,0,0,0,0,-nan,0,0,10589,14497,0.730427,27,32015,13447,2.38083,0,32015,13447,2.38083,0,0,0,0,-nan,0,0,10589,14497,0.730427,9,28122,13053,2.15445,0,28122,13053,2.15445,0,0,0,0,-nan,0,0,28122,13053,2.15445,0,31055,13120,2.367,0,31055,13120,2.367,0,0,0,0,-nan,0,0,31055,13120,2.367,0,28806,13726,2.09864,0,10570,14497,0.729116,30,10570,14497,0.729116,60,10570,14497,0.729116,99105,4,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs4n50_2.dat,6,51,2,31119,13584,2.29086,0,31119,13584,2.29086,0,0,0,0,-nan,0,0,10874,15367,0.70762,24,31760,13552,2.34357,0,31760,13552,2.34357,0,0,0,0,-nan,0,0,10818,15386,0.703107,25,30578,13595,2.24921,0,30578,13595,2.24921,0,0,0,0,-nan,0,0,10790,15386,0.701287,16,32100,13591,2.36186,0,32100,13591,2.36186,0,0,0,0,-nan,0,0,32100,13591,2.36186,0,30983,13552,2.28623,0,30983,13552,2.28623,0,0,0,0,-nan,0,0,30983,13552,2.28623,0,30579,13584,2.2511,0,10776,15288,0.704867,30,10790,15386,0.701287,60,10790,15386,0.701287,100347,52,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs5n50_2.dat,6,51,2,28891,13374,2.16024,0,28891,13374,2.16024,0,0,0,0,-nan,0,0,10365,14857,0.697651,32,31036,13612,2.28005,0,31036,13612,2.28005,0,0,0,0,-nan,0,0,10223,14722,0.694403,23,32331,13010,2.48509,0,32331,13010,2.48509,0,0,0,0,-nan,0,0,10323,14814,0.696841,10,28365,13045,2.1744,0,28365,13045,2.1744,0,0,0,0,-nan,0,0,28365,13045,2.1744,0,30494,13305,2.29192,0,30494,13305,2.29192,0,0,0,0,-nan,0,0,30494,13305,2.29192,0,28352,13374,2.11993,0,10365,14857,0.697651,30,10223,14722,0.694403,60,10223,14722,0.694403,101397,35,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs6n50_2.dat,6,51,2,29252,15091,1.93837,0,29252,15091,1.93837,0,0,0,0,-nan,0,0,10481,15013,0.698128,26,28934,14790,1.95632,0,28934,14790,1.95632,0,0,0,0,-nan,0,0,11124,16483,0.674877,30,30593,14899,2.05336,0,30593,14899,2.05336,0,0,0,0,-nan,0,0,11124,16483,0.674877,9,30933,14971,2.06619,0,30933,14971,2.06619,0,0,0,0,-nan,0,0,30933,14971,2.06619,0,29921,15450,1.93663,0,29921,15450,1.93663,0,0,0,0,-nan,0,0,29921,15450,1.93663,0,28689,15091,1.90107,0,10402,15197,0.684477,30,11124,16483,0.674877,60,11124,16483,0.674877,102400,35,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs7n50_2.dat,6,51,2,31103,13173,2.36112,0,31103,13173,2.36112,0,0,0,0,-nan,0,0,11507,13879,0.829094,33,29481,12789,2.30518,0,29481,12789,2.30518,0,0,0,0,-nan,0,0,10907,14067,0.775361,29,32501,12701,2.55893,0,32501,12701,2.55893,0,0,0,0,-nan,0,0,10701,13728,0.779502,3,31951,12830,2.49034,0,31951,12830,2.49034,0,0,0,0,-nan,0,0,31951,12830,2.49034,0,31368,13003,2.41237,0,31368,13003,2.41237,0,0,0,0,-nan,0,0,31368,13003,2.41237,0,30324,13173,2.30198,0,11507,13879,0.829094,30,10907,14067,0.775361,60,10907,14067,0.775361,103387,40,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs8n50_2.dat,6,51,2,33252,11230,2.961,0,33252,11230,2.961,0,0,0,0,-nan,0,0,12063,11740,1.02751,18,32983,11456,2.8791,0,32983,11456,2.8791,0,0,0,0,-nan,0,0,12087,11758,1.02798,18,33442,11355,2.94513,0,33442,11355,2.94513,0,0,0,0,-nan,0,0,12087,11758,1.02798,18,33878,11378,2.9775,0,33878,11378,2.9775,0,0,0,0,-nan,0,0,12087,11758,1.02798,11,33755,11199,3.01411,0,33755,11199,3.01411,0,0,0,0,-nan,0,0,33755,11199,3.01411,0,32324,11230,2.87836,0,12063,11740,1.02751,30,12063,11740,1.02751,60,12063,11740,1.02751,104753,1,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs9n50_2.dat,6,51,2,30980,14020,2.2097,0,30980,14020,2.2097,0,0,0,0,-nan,0,0,11273,15443,0.729975,27,31887,14257,2.23659,0,31887,14257,2.23659,0,0,0,0,-nan,0,0,11273,15443,0.729975,26,29755,13367,2.226,0,29755,13367,2.226,0,0,0,0,-nan,0,0,11273,15443,0.729975,12,31524,13962,2.25784,0,31524,13962,2.25784,0,0,0,0,-nan,0,0,31524,13962,2.25784,0,30143,13558,2.22326,0,30143,13558,2.22326,0,0,0,0,-nan,0,0,30143,13558,2.22326,0,30182,14020,2.15278,0,11273,15443,0.729975,30,11273,15443,0.729975,60,11273,15443,0.729975,105699,1,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_2.dat,6,51,2,30483,13933,2.18783,0,30483,13933,2.18783,0,0,0,0,-nan,0,0,9925,14740,0.673338,27,29707,13990,2.12345,0,29707,13990,2.12345,0,0,0,0,-nan,0,0,9925,14740,0.673338,20,31024,13465,2.30405,0,31024,13465,2.30405,0,0,0,0,-nan,0,0,9925,14740,0.673338,18,28804,13834,2.08212,0,28804,13834,2.08212,0,0,0,0,-nan,0,0,28804,13834,2.08212,0,31731,13566,2.33901,0,31731,13566,2.33901,0,0,0,0,-nan,0,0,31731,13566,2.33901,0,29870,13933,2.14383,0,9925,14740,0.673338,30,9925,14740,0.673338,60,9925,14740,0.673338,106928,8,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n100_2.dat,6,101,2,44002,28739,1.53109,0,44002,28739,1.53109,0,0,0,0,-nan,0,0,13492,31347,0.430408,65,47298,27885,1.69618,0,47298,27885,1.69618,0,0,0,0,-nan,0,0,47298,27885,1.69618,0,45502,28472,1.59813,0,45502,28472,1.59813,0,0,0,0,-nan,0,0,45502,28472,1.59813,0,45652,28244,1.61634,0,45652,28244,1.61634,0,0,0,0,-nan,0,0,45652,28244,1.61634,0,45470,28150,1.61528,0,45470,28150,1.61528,0,0,0,0,-nan,0,0,45470,28150,1.61528,0,43231,28739,1.50426,0,13492,31347,0.430408,30,13492,31347,0.430408,60,13492,31347,0.430408,107031,24,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n100_2.dat,6,101,2,43972,26640,1.6506,0,43972,26640,1.6506,0,0,0,0,-nan,0,0,12744,28502,0.447127,65,47979,26361,1.82008,0,47979,26361,1.82008,0,0,0,0,-nan,0,0,47979,26361,1.82008,0,44072,26862,1.64068,0,44072,26862,1.64068,0,0,0,0,-nan,0,0,44072,26862,1.64068,0,44025,26174,1.68201,0,44025,26174,1.68201,0,0,0,0,-nan,0,0,44025,26174,1.68201,0,44219,26831,1.64806,0,44219,26831,1.64806,0,0,0,0,-nan,0,0,44219,26831,1.64806,0,43360,26640,1.62763,0,12744,28502,0.447127,30,12744,28502,0.447127,60,12744,28502,0.447127,107141,26,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs3n100_2.dat,6,101,2,50963,28222,1.80579,0,50963,28222,1.80579,0,0,0,0,-nan,0,0,13424,31024,0.432697,65,51123,28209,1.81229,0,51123,28209,1.81229,0,0,0,0,-nan,0,0,51123,28209,1.81229,0,50070,28163,1.77786,0,50070,28163,1.77786,0,0,0,0,-nan,0,0,50070,28163,1.77786,0,51394,27415,1.87467,0,51394,27415,1.87467,0,0,0,0,-nan,0,0,51394,27415,1.87467,0,48988,27526,1.7797,0,48988,27526,1.7797,0,0,0,0,-nan,0,0,48988,27526,1.7797,0,50334,28222,1.7835,0,13424,31024,0.432697,30,13424,31024,0.432697,60,13424,31024,0.432697,107290,29,65,
