,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_2.dat,6,51,2,30483,13933,2.18783,0,30483,13933,2.18783,0,14,0,0,13455,14720,0.914062,3,29707,13990,2.12345,0,29707,13990,2.12345,0,5,0,0,13435,14638,0.917817,1,31024,13465,2.30405,0,31024,13465,2.30405,0,5,0,0,13452,14679,0.916411,1,28804,13834,2.08212,0,28804,13834,2.08212,0,5,0,0,14187,15198,0.933478,2,31731,13566,2.33901,0,31731,13566,2.33901,0,5,0,0,13435,14638,0.917817,1,13455,14720,0.914062,2,8,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n100_3.dat,6,101,3,45609,26640,1.71205,0,45609,26640,1.71205,0,7,0,0,17843,27763,0.64269,11,48088,26361,1.82421,0,48088,26361,1.82421,0,8,0,0,17578,27588,0.637161,19,45965,26862,1.71115,0,45965,26862,1.71115,0,13,0,0,16851,27592,0.61072,21,45105,26174,1.72328,0,45105,26174,1.72328,0,5,0,0,17122,27629,0.619711,12,44511,26831,1.65894,0,44511,26831,1.65894,0,5,0,0,16861,27560,0.611792,10,16851,27592,0.61072,43,73,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs5n100_3.dat,6,101,3,53615,28865,1.85744,0,53615,28865,1.85744,0,23,0,0,15461,28506,0.542377,35,54656,29086,1.87912,0,54656,29086,1.87912,0,5,0,0,16004,28810,0.555502,9,54828,29426,1.86325,0,54828,29426,1.86325,0,7,0,0,15239,28352,0.537493,10,55062,28377,1.94037,0,55062,28377,1.94037,0,5,0,0,15779,28453,0.554564,10,52750,29479,1.78941,0,52750,29479,1.78941,0,5,0,0,15275,27770,0.550054,9,15239,28352,0.537493,50,73,
