,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,FirstImpCost,FirstImpQuantity,FirstImpLogisticRatio,TimeAtFirstImprovement,BestCostAt30s,BestQuantityAt30s,BestLogisticRatioAt30s,TimeAt30s,BestCostAt60s,BestQuantityAt60s,BestLogisticRatioAt60s,TimeAt60s,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_iteration,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n50_2.dat,6,51,2,29305,13537,2.16481,0,29305,13537,2.16481,0,6,6,3,0.0415477,0.0927558,0.0780197,10758,14198,0.757712,22,29451,13034,2.25955,0,29451,13034,2.25955,0,0,0,0,-nan,0,0,10758,14198,0.757712,21,29778,13050,2.28184,0,29778,13050,2.28184,0,0,0,0,-nan,0,0,10758,14198,0.757712,21,30669,13703,2.23812,0,30669,13703,2.23812,0,0,0,0,-nan,0,0,10758,14198,0.757712,1,30650,13337,2.29812,0,30650,13337,2.29812,0,0,0,0,-nan,0,0,30650,13337,2.29812,0,28699,13537,2.12004,0,10758,14198,0.757712,30,10758,14198,0.757712,60,10758,14198,0.757712,205441,0,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n50_2.dat,6,51,2,31785,13478,2.35829,0,31785,13478,2.35829,0,11,11,6,0.148523,0.844089,0.016794,11665,15061,0.774517,19,33177,13606,2.43841,0,33177,13606,2.43841,0,0,0,0,-nan,0,0,11452,14667,0.7808,15,34820,13158,2.6463,0,34820,13158,2.6463,0,0,0,0,-nan,0,0,11452,14667,0.7808,15,33040,13105,2.52118,0,33040,13105,2.52118,0,0,0,0,-nan,0,0,11452,14667,0.7808,15,34655,13115,2.64239,0,34655,13115,2.64239,0,0,0,0,-nan,0,0,12144,15100,0.804238,1,31213,13478,2.31585,0,11665,15061,0.774517,30,11665,15061,0.774517,60,11665,15061,0.774517,207090,5,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs3n50_2.dat,6,51,2,29616,13726,2.15766,0,29616,13726,2.15766,0,11,11,6,0.092482,0.568361,0.00719011,10394,13864,0.749711,32,29322,13564,2.16175,0,29322,13564,2.16175,0,4,4,2,0.112448,0.354392,0.0954003,10466,14260,0.733941,33,32015,13447,2.38083,0,32015,13447,2.38083,0,0,0,0,-nan,0,0,32015,13447,2.38083,0,28122,13053,2.15445,0,28122,13053,2.15445,0,0,0,0,-nan,0,0,28122,13053,2.15445,0,31055,13120,2.367,0,31055,13120,2.367,0,0,0,0,-nan,0,0,31055,13120,2.367,0,28806,13726,2.09864,0,10394,13894,0.748093,30,10466,14260,0.733941,60,10466,14260,0.733941,207953,40,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs4n50_2.dat,6,51,2,31119,13584,2.29086,0,31119,13584,2.29086,0,12,12,3,0.0172297,0.0760141,0.054802,10979,15315,0.716879,22,31760,13552,2.34357,0,31760,13552,2.34357,0,3,3,0,0,0,0,10923,15315,0.713222,21,30578,13595,2.24921,0,30578,13595,2.24921,0,0,0,0,-nan,0,0,11077,15451,0.716912,21,32100,13591,2.36186,0,32100,13591,2.36186,0,0,0,0,-nan,0,0,11004,15282,0.720063,1,30983,13552,2.28623,0,30983,13552,2.28623,0,0,0,0,-nan,0,0,30983,13552,2.28623,0,30579,13584,2.2511,0,10923,15315,0.713222,30,10923,15315,0.713222,60,10923,15315,0.713222,209236,24,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs5n50_2.dat,6,51,2,28891,13374,2.16024,0,28891,13374,2.16024,0,8,8,2,0.070174,0.316294,0.245098,10986,14779,0.743352,29,31036,13612,2.28005,0,31036,13612,2.28005,0,4,4,0,0,0,0,10752,14667,0.733074,32,32331,13010,2.48509,0,32331,13010,2.48509,0,0,0,0,-nan,0,0,10786,14668,0.735342,4,28365,13045,2.1744,0,28365,13045,2.1744,0,0,0,0,-nan,0,0,28365,13045,2.1744,0,30494,13305,2.29192,0,30494,13305,2.29192,0,0,0,0,-nan,0,0,30494,13305,2.29192,0,28352,13374,2.11993,0,10972,14807,0.741001,30,10752,14667,0.733074,60,10752,14667,0.733074,210170,39,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs6n50_2.dat,6,51,2,29252,15091,1.93837,0,29252,15091,1.93837,0,22,22,6,0.0298744,0.269019,0.00615498,10642,15960,0.666792,27,28934,14790,1.95632,0,28934,14790,1.95632,0,0,0,0,-nan,0,0,10703,16015,0.668311,24,30593,14899,2.05336,0,30593,14899,2.05336,0,0,0,0,-nan,0,0,10703,16015,0.668311,14,30933,14971,2.06619,0,30933,14971,2.06619,0,0,0,0,-nan,0,0,30933,14971,2.06619,0,29921,15450,1.93663,0,29921,15450,1.93663,0,0,0,0,-nan,0,0,29921,15450,1.93663,0,28689,15091,1.90107,0,10642,15960,0.666792,30,10642,15960,0.666792,60,10642,15960,0.666792,211208,4,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs7n50_2.dat,6,51,2,31103,13173,2.36112,0,31103,13173,2.36112,0,16,16,5,0.0789963,0.781432,0.0425713,11855,14729,0.804875,25,29481,12789,2.30518,0,29481,12789,2.30518,0,2,2,0,0,0,0,11741,14679,0.79985,21,32501,12701,2.55893,0,32501,12701,2.55893,0,0,0,0,-nan,0,0,11741,14679,0.79985,19,31951,12830,2.49034,0,31951,12830,2.49034,0,0,0,0,-nan,0,0,31951,12830,2.49034,0,31368,13003,2.41237,0,31368,13003,2.41237,0,0,0,0,-nan,0,0,31368,13003,2.41237,0,30324,13173,2.30198,0,11741,14679,0.79985,30,11741,14679,0.79985,60,11741,14679,0.79985,212430,26,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs8n50_2.dat,6,51,2,33252,11230,2.961,0,33252,11230,2.961,0,14,14,6,0.0439986,0.312563,0.00804311,12138,12451,0.974861,21,32983,11456,2.8791,0,32983,11456,2.8791,0,2,2,0,0,0,0,12118,12451,0.973255,18,33442,11355,2.94513,0,33442,11355,2.94513,0,0,0,0,-nan,0,0,12125,12457,0.973348,15,33878,11378,2.9775,0,33878,11378,2.9775,0,0,0,0,-nan,0,0,12125,12457,0.973348,11,33755,11199,3.01411,0,33755,11199,3.01411,0,0,0,0,-nan,0,0,33755,11199,3.01411,0,32324,11230,2.87836,0,12118,12451,0.973255,30,12118,12451,0.973255,60,12118,12451,0.973255,213978,25,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs9n50_2.dat,6,51,2,30980,14020,2.2097,0,30980,14020,2.2097,0,18,18,9,0.0421673,0.217489,0.0274273,10500,14749,0.711913,24,31887,14257,2.23659,0,31887,14257,2.23659,0,0,0,0,-nan,0,0,10500,14749,0.711913,20,29755,13367,2.226,0,29755,13367,2.226,0,0,0,0,-nan,0,0,10500,14749,0.711913,21,31524,13962,2.25784,0,31524,13962,2.25784,0,0,0,0,-nan,0,0,31524,13962,2.25784,0,30143,13558,2.22326,0,30143,13558,2.22326,0,0,0,0,-nan,0,0,30143,13558,2.22326,0,30182,14020,2.15278,0,10500,14749,0.711913,30,10500,14749,0.711913,60,10500,14749,0.711913,215152,3,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_2.dat,6,51,2,30483,13933,2.18783,0,30483,13933,2.18783,0,13,12,3,0.0528413,0.376213,0.0864937,9920,14546,0.681974,28,29707,13990,2.12345,0,29707,13990,2.12345,0,2,2,0,0,0,0,9823,14556,0.674842,22,31024,13465,2.30405,0,31024,13465,2.30405,0,0,0,0,-nan,0,0,9823,14556,0.674842,15,28804,13834,2.08212,0,28804,13834,2.08212,0,0,0,0,-nan,0,0,28804,13834,2.08212,0,31731,13566,2.33901,0,31731,13566,2.33901,0,0,0,0,-nan,0,0,31731,13566,2.33901,0,29870,13933,2.14383,0,9920,14546,0.681974,30,9823,14556,0.674842,60,9823,14556,0.674842,216422,32,65,
