,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs1n15.dat,3,16,1,3936,1879,2.09473,0,3330,1879,1.77222,1,9,0,0,2229,1964,1.13493,1,4642,1871,2.48103,0,3670,1871,1.96152,1,5,0,0,2229,1964,1.13493,0,4411,1701,2.59318,0,3422,1701,2.01176,1,5,0,0,2229,1964,1.13493,0,4924,2096,2.34924,0,3705,2096,1.76765,2,5,0,0,2229,1964,1.13493,0,4817,1697,2.83854,0,3452,1697,2.03418,1,5,0,0,2229,1964,1.13493,0,2229,1964,1.13493,2,7,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs2n15.dat,3,16,1,4151,1638,2.53419,0,2983,1638,1.82112,1,12,0,0,2197,1917,1.14606,1,5052,1723,2.9321,0,3514,1723,2.03947,1,5,0,0,2197,1917,1.14606,0,3987,1636,2.43704,0,3243,1636,1.98227,1,5,0,0,2197,1917,1.14606,0,4577,2019,2.26696,0,3358,2019,1.6632,1,5,0,0,2197,1917,1.14606,0,4483,1457,3.07687,0,3331,1457,2.2862,1,5,0,0,2197,1917,1.14606,0,2197,1917,1.14606,2,6,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs3n15.dat,3,16,1,4461,1762,2.53178,0,3332,1762,1.89103,1,5,0,0,2658,2141,1.24148,1,6063,1948,3.11242,0,3948,1948,2.02669,1,5,0,0,3590,2276,1.57733,0,4734,2007,2.35874,0,3788,2007,1.88739,2,5,0,0,2921,1822,1.60318,0,5269,1931,2.72864,0,4105,1931,2.12584,1,5,0,0,2921,1822,1.60318,0,5155,1800,2.86389,0,3828,1800,2.12667,1,5,0,0,2921,1822,1.60318,0,2658,2141,1.24148,2,7,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs4n15.dat,3,16,1,5618,1518,3.70092,0,3573,1518,2.35375,1,6,0,0,2333,1830,1.27486,1,6488,1570,4.13248,0,4096,1570,2.60892,1,8,0,0,2336,1881,1.24189,1,6116,1535,3.98436,0,3757,1535,2.44756,1,5,0,0,2336,1881,1.24189,0,5555,1774,3.13134,0,3645,1774,2.05468,1,5,0,0,2336,1881,1.24189,0,5643,1312,4.30107,0,3244,1312,2.47256,1,5,0,0,2336,1881,1.24189,0,2336,1881,1.24189,4,7,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs5n15.dat,3,16,1,4743,1629,2.9116,0,3308,1629,2.03069,1,7,0,0,2489,1863,1.33602,1,5206,1615,3.22353,0,3518,1615,2.17833,1,5,0,0,2728,1832,1.48908,0,5627,1584,3.5524,0,3370,1584,2.12753,1,5,0,0,2939,2030,1.44778,0,5040,1676,3.00716,0,3463,1676,2.06623,1,5,0,0,2939,2030,1.44778,0,5482,1370,4.00146,0,3077,1370,2.24599,2,5,0,0,2939,2030,1.44778,0,2489,1863,1.33602,2,7,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs1n20.dat,3,21,1,6202,2021,3.06878,0,4014,2021,1.98615,1,7,0,0,2956,3040,0.972368,1,7080,2209,3.20507,0,3997,2209,1.80942,1,5,0,0,2951,3040,0.970724,1,6741,2250,2.996,0,3877,2250,1.72311,1,5,0,0,3241,2665,1.21614,0,6429,2381,2.70013,0,3911,2381,1.64259,1,5,0,0,2960,2384,1.24161,0,5864,2233,2.62606,0,3747,2233,1.67801,2,5,0,0,2947,3000,0.982333,0,2951,3040,0.970724,4,8,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs2n20.dat,3,21,1,4817,2208,2.18161,0,3268,2208,1.48007,1,8,0,0,2613,2838,0.920719,1,5691,2045,2.78289,0,3814,2045,1.86504,1,5,0,0,2613,2838,0.920719,0,5898,2296,2.56882,0,3902,2296,1.69948,1,5,0,0,2613,2838,0.920719,0,5573,2561,2.1761,0,3330,2561,1.30027,2,5,0,0,2613,2838,0.920719,0,5701,2216,2.57265,0,3681,2216,1.6611,1,5,0,0,2613,2838,0.920719,0,2613,2838,0.920719,2,7,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs3n20.dat,3,21,1,6811,2221,3.06664,0,4325,2221,1.94732,1,8,0,0,3279,2797,1.17233,1,8038,2046,3.92864,0,4434,2046,2.16716,1,5,0,0,3279,2797,1.17233,0,7978,2163,3.6884,0,4657,2163,2.15303,1,7,0,0,3037,2732,1.11164,1,8675,2580,3.3624,0,4864,2580,1.88527,2,5,0,0,3037,2732,1.11164,0,7068,2123,3.32925,0,4734,2123,2.22986,1,5,0,0,3037,2732,1.11164,0,3037,2732,1.11164,5,8,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs4n20.dat,3,21,1,6947,2111,3.29086,0,4392,2111,2.08053,1,11,0,0,3709,2622,1.41457,1,7937,2251,3.52599,0,4708,2251,2.09151,2,5,0,0,3709,2622,1.41457,0,7966,2161,3.68626,0,4862,2161,2.24988,1,5,0,0,3709,2622,1.41457,0,7106,2313,3.0722,0,4357,2313,1.8837,1,5,0,0,3709,2622,1.41457,0,8507,2191,3.8827,0,4900,2191,2.23642,1,5,0,0,3709,2622,1.41457,0,3709,2622,1.41457,2,7,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs5n20.dat,3,21,1,6267,2177,2.87873,0,4448,2177,2.04318,2,15,0,0,3325,3124,1.06434,1,7766,2678,2.89993,0,4776,2678,1.78342,1,5,0,0,3325,3124,1.06434,0,7434,2339,3.17828,0,4614,2339,1.97264,1,5,0,0,3325,3124,1.06434,0,6823,2837,2.40501,0,4737,2837,1.66972,1,5,0,0,3325,3124,1.06434,0,7929,2599,3.05079,0,4521,2599,1.73952,1,5,0,0,3325,3124,1.06434,0,3325,3124,1.06434,3,7,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs1n25.dat,3,26,1,7092,2655,2.67119,0,4043,2655,1.52279,2,5,0,0,4074,3105,1.31208,1,7844,2541,3.08697,0,4644,2541,1.82763,1,8,0,0,4013,3256,1.23249,2,7714,2724,2.83186,0,4373,2724,1.60536,1,5,0,0,4013,3256,1.23249,0,9068,3005,3.01764,0,4522,3005,1.50483,2,5,0,0,4013,3256,1.23249,0,8569,2666,3.21418,0,4635,2666,1.73856,1,5,0,0,4013,3256,1.23249,0,4013,3256,1.23249,6,10,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs2n25.dat,3,26,1,7561,2918,2.59116,0,4174,2918,1.43043,1,10,0,0,3310,3656,0.905361,1,7748,3018,2.56726,0,4391,3018,1.45494,2,5,0,0,3260,3656,0.891685,1,8655,3282,2.63711,0,4714,3282,1.43632,1,5,0,0,3418,3552,0.962275,0,8880,3041,2.92009,0,4354,3041,1.43177,1,5,0,0,3418,3552,0.962275,0,8445,2804,3.01177,0,4101,2804,1.46255,2,5,0,0,3418,3552,0.962275,0,3260,3656,0.891685,5,9,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs3n25.dat,3,26,1,7821,3321,2.35501,0,5146,3321,1.54953,1,10,0,0,3450,3193,1.08049,1,8144,2914,2.79478,0,4918,2914,1.68771,1,5,0,0,3393,3193,1.06264,1,8693,3125,2.78176,0,5334,3125,1.70688,1,5,0,0,3393,3193,1.06264,0,7630,3095,2.46527,0,4975,3095,1.60743,2,5,0,0,3393,3193,1.06264,0,7208,3079,2.34102,0,5099,3079,1.65606,1,5,0,0,3393,3193,1.06264,0,3393,3193,1.06264,4,8,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs4n25.dat,3,26,1,6609,3033,2.17903,0,4108,3033,1.35443,1,12,0,0,3146,3496,0.899886,2,8868,2950,3.0061,0,5098,2950,1.72814,1,5,0,0,3376,3323,1.01595,0,8388,2670,3.14157,0,4266,2670,1.59775,2,5,0,0,3376,3323,1.01595,0,7068,2927,2.41476,0,4239,2927,1.44824,1,5,0,0,3376,3323,1.01595,0,7531,2989,2.51957,0,4612,2989,1.54299,2,5,0,0,3376,3323,1.01595,0,3146,3496,0.899886,3,9,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs5n25.dat,3,26,1,6983,3365,2.07519,0,4402,3365,1.30817,1,10,0,0,3356,4263,0.787239,1,8026,3395,2.36406,0,4593,3395,1.35287,1,5,0,0,4029,4197,0.959971,0,6999,3373,2.07501,0,4528,3373,1.34243,2,5,0,0,4029,4197,0.959971,0,7120,3697,1.92589,0,4345,3697,1.17528,1,5,0,0,4029,4197,0.959971,0,7257,3339,2.17341,0,4455,3339,1.33423,2,5,0,0,4029,4197,0.959971,0,3356,4263,0.787239,2,8,
