,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n100_2.dat,6,101,2,44002,28739,1.53109,0,17436,28739,0.606702,25,8,0,0,16755,29881,0.560724,36,47298,27885,1.69618,0,17956,27885,0.64393,25,9,0,0,15226,29235,0.520814,40,45502,28472,1.59813,0,17793,28472,0.62493,25,5,0,0,16833,29941,0.562206,15,45652,28244,1.61634,0,17289,28244,0.61213,25,10,0,0,14777,29092,0.50794,40,45470,28150,1.61528,0,17934,28150,0.637087,28,5,0,0,15046,29283,0.513813,10,14777,29092,0.50794,231,269
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n100_2.dat,6,101,2,43972,26640,1.6506,0,17282,26640,0.648724,25,6,0,0,16153,26589,0.607507,32,47979,26361,1.82008,0,17657,26361,0.669815,23,6,0,0,15947,26254,0.607412,37,44072,26862,1.64068,0,17606,26862,0.655424,29,4,0,0,15989,27124,0.589478,33,44025,26174,1.68201,0,17397,26174,0.664667,25,6,0,0,16222,27525,0.589355,34,44219,26831,1.64806,0,17670,26831,0.658567,25,7,0,0,15820,27063,0.584562,35,15820,27063,0.584562,298,298
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs3n100_2.dat,6,101,2,50963,28222,1.80579,0,18654,28222,0.660974,30,3,0,0,18256,29896,0.61065,33,51123,28209,1.81229,0,18785,28209,0.665922,31,4,0,0,16958,28109,0.603294,36,50070,28163,1.77786,0,18275,28163,0.648901,26,3,0,0,17322,28594,0.605791,10,51394,27415,1.87467,0,18147,27415,0.661937,25,7,0,0,17083,28381,0.601917,39,48988,27526,1.7797,0,17968,27526,0.652765,27,5,0,0,16731,28443,0.588229,33,16731,28443,0.588229,290,290
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs4n100_2.dat,6,101,2,49164,27361,1.79686,0,17427,27361,0.636928,26,5,0,0,16698,29405,0.567863,37,50200,26979,1.86071,0,17034,26979,0.63138,26,6,0,0,16302,28995,0.562235,33,49031,27214,1.80168,0,17290,27214,0.635335,25,4,0,0,16033,27883,0.57501,12,49291,26616,1.85193,0,16879,26616,0.634167,24,5,0,0,16700,27927,0.597988,15,51214,26860,1.9067,0,17217,26860,0.64099,24,5,0,0,16021,27215,0.588683,11,16302,28995,0.562235,122,233
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs5n100_2.dat,6,101,2,53883,28865,1.86672,0,17288,28865,0.598926,21,5,0,0,17115,30407,0.562864,33,54404,29086,1.87045,0,17555,29086,0.603555,23,5,0,0,16522,29865,0.553223,30,54922,29426,1.86644,0,17680,29426,0.600829,26,4,0,0,16796,29798,0.563662,10,55211,28377,1.94562,0,17557,28377,0.618705,23,5,0,0,16443,28856,0.569829,12,53166,29479,1.80352,0,17734,29479,0.601581,24,4,0,0,16667,29783,0.559615,10,16522,29865,0.553223,107,212
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs6n100_2.dat,6,101,2,48261,27565,1.75081,0,18435,27565,0.668783,27,9,0,0,18822,29926,0.628951,53,49311,27075,1.82127,0,18341,27075,0.677415,26,8,0,0,18090,29380,0.615725,42,47781,27529,1.73566,0,18449,27529,0.670166,29,8,0,0,15446,26697,0.578567,37,48742,27538,1.76999,0,18546,27538,0.673469,27,5,0,0,16246,27391,0.593115,12,46897,27227,1.72244,0,17766,27227,0.652514,29,10,0,0,14733,26676,0.552294,38,14733,26676,0.552294,320,320
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs7n100_2.dat,6,101,2,47499,26505,1.79208,0,18011,26505,0.679532,24,5,0,0,17597,28146,0.625204,36,48938,26976,1.81413,0,18103,26976,0.671078,25,4,0,0,17583,28036,0.627158,9,48431,26710,1.81322,0,18078,26710,0.676825,26,7,0,0,17525,28564,0.613535,34,48896,26856,1.82067,0,18179,26856,0.676906,25,2,0,0,17310,28381,0.609915,32,49175,26909,1.82746,0,18166,26909,0.67509,24,5,0,0,16725,27915,0.59914,37,16725,27915,0.59914,272,272
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs8n100_2.dat,6,101,2,44863,28250,1.58807,0,18207,28250,0.644496,30,8,0,0,16092,28496,0.564711,39,45094,28295,1.59371,0,18207,28295,0.643471,31,5,0,0,16862,29115,0.579152,10,44319,27841,1.59186,0,17889,27841,0.642542,28,6,0,0,16228,28819,0.563101,40,44035,28037,1.5706,0,18127,28037,0.646539,29,6,0,0,16065,28715,0.559464,36,43624,26985,1.6166,0,17469,26985,0.64736,28,5,0,0,16538,28222,0.585997,12,16065,28715,0.559464,243,283
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs9n100_2.dat,6,101,2,48749,28906,1.68647,0,18604,28906,0.643603,26,5,0,0,17847,30574,0.583731,36,49121,28341,1.73321,0,18188,28341,0.641756,24,3,0,0,17319,29774,0.581682,36,49078,28257,1.73684,0,18851,28257,0.667127,27,4,0,0,15666,26141,0.599288,10,50105,28417,1.76321,0,18835,28417,0.662807,25,6,0,0,17078,29689,0.57523,34,47880,27799,1.72236,0,18351,27799,0.660132,27,4,0,0,17051,29689,0.57432,36,17051,29689,0.57432,281,281
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n100_2.dat,6,101,2,45871,27583,1.66302,0,17710,27583,0.642062,24,7,0,0,16771,29742,0.563883,34,47910,27348,1.75186,0,18091,27348,0.661511,26,5,0,0,16396,28538,0.574532,0,45262,27713,1.63324,0,18111,27713,0.65352,31,6,0,0,16411,29742,0.551779,30,47084,27454,1.71501,0,18124,27454,0.660159,23,5,0,0,16419,28499,0.576125,12,48176,27246,1.76819,0,18041,27246,0.662152,24,4,0,0,17008,28621,0.594249,1,16411,29742,0.551779,145,205
