,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,FirstImpCost,FirstImpQuantity,FirstImpLogisticRatio,TimeAtFirstImprovement,BestCostAt30s,BestQuantityAt30s,BestLogisticRatioAt30s,TimeAt30s,BestCostAt60s,BestQuantityAt60s,BestLogisticRatioAt60s,TimeAt60s,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_iteration,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n50_2.dat,6,51,2,29305,13537,2.16481,0,29305,13537,2.16481,0,14,14,10,0.128998,0.415552,0.00713419,11162,14835,0.75241,20,29451,13034,2.25955,0,29451,13034,2.25955,0,0,0,0,-nan,0,0,11139,14746,0.755391,18,29778,13050,2.28184,0,29778,13050,2.28184,0,0,0,0,-nan,0,0,11139,14746,0.755391,16,30669,13703,2.23812,0,30669,13703,2.23812,0,0,0,0,-nan,0,0,11139,14746,0.755391,11,30650,13337,2.29812,0,30650,13337,2.29812,0,0,0,0,-nan,0,0,30650,13337,2.29812,0,28699,13537,2.12004,0,11162,14835,0.75241,30,11162,14835,0.75241,60,11162,14835,0.75241,59367,5,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n50_2.dat,6,51,2,31785,13478,2.35829,0,31785,13478,2.35829,0,12,12,5,0.0453758,0.288898,0.0272072,11299,14136,0.799307,26,33177,13606,2.43841,0,33177,13606,2.43841,0,1,1,0,0,0,0,11277,14125,0.798372,20,34820,13158,2.6463,0,34820,13158,2.6463,0,0,0,0,-nan,0,0,11277,14125,0.798372,18,33040,13105,2.52118,0,33040,13105,2.52118,0,0,0,0,-nan,0,0,15128,14236,1.06266,1,34655,13115,2.64239,0,34655,13115,2.64239,0,0,0,0,-nan,0,0,34655,13115,2.64239,0,31213,13478,2.31585,0,11277,14125,0.798372,30,11277,14125,0.798372,60,11277,14125,0.798372,60678,28,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs3n50_2.dat,6,51,2,29616,13726,2.15766,0,29616,13726,2.15766,0,14,12,3,0.0458543,0.435849,0.080868,10526,14581,0.721898,32,29322,13564,2.16175,0,29322,13564,2.16175,0,3,3,0,0,0,0,10387,14538,0.714472,27,32015,13447,2.38083,0,32015,13447,2.38083,0,3,3,1,0.0115006,0.0345018,0.0345018,10175,14487,0.702354,6,28122,13053,2.15445,0,28122,13053,2.15445,0,0,0,0,-nan,0,0,28122,13053,2.15445,0,31055,13120,2.367,0,31055,13120,2.367,0,0,0,0,-nan,0,0,31055,13120,2.367,0,28806,13726,2.09864,0,10526,14581,0.721898,30,10387,14538,0.714472,60,10175,14492,0.702112,61697,63,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs4n50_2.dat,6,51,2,31119,13584,2.29086,0,31119,13584,2.29086,0,20,20,7,0.0351122,0.322061,0.00838645,10911,15384,0.709243,32,31760,13552,2.34357,0,31760,13552,2.34357,0,3,3,2,0.0561627,0.0905153,0.0779727,10813,15460,0.699418,21,30578,13595,2.24921,0,30578,13595,2.24921,0,0,0,0,-nan,0,0,10813,15460,0.699418,12,32100,13591,2.36186,0,32100,13591,2.36186,0,0,0,0,-nan,0,0,32100,13591,2.36186,0,30983,13552,2.28623,0,30983,13552,2.28623,0,0,0,0,-nan,0,0,30983,13552,2.28623,0,30579,13584,2.2511,0,10911,15384,0.709243,30,10812,15467,0.699037,60,10812,15467,0.699037,62787,36,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs5n50_2.dat,6,51,2,28891,13374,2.16024,0,28891,13374,2.16024,0,7,7,3,0.0623539,0.305629,0.0342771,10385,14543,0.714089,25,31036,13612,2.28005,0,31036,13612,2.28005,0,0,0,0,-nan,0,0,10419,14543,0.716427,21,32331,13010,2.48509,0,32331,13010,2.48509,0,0,0,0,-nan,0,0,10419,14543,0.716427,19,28365,13045,2.1744,0,28365,13045,2.1744,0,0,0,0,-nan,0,0,28365,13045,2.1744,0,30494,13305,2.29192,0,30494,13305,2.29192,0,0,0,0,-nan,0,0,30494,13305,2.29192,0,28352,13374,2.11993,0,10385,14543,0.714089,30,10385,14543,0.714089,60,10385,14543,0.714089,63993,6,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs6n50_2.dat,6,51,2,29252,15091,1.93837,0,29252,15091,1.93837,0,22,21,6,0.0407554,0.408394,0.0190319,11294,16833,0.670944,34,28934,14790,1.95632,0,28934,14790,1.95632,0,1,1,0,0,0,0,11268,16833,0.669399,21,30593,14899,2.05336,0,30593,14899,2.05336,0,0,0,0,-nan,0,0,11268,16833,0.669399,10,30933,14971,2.06619,0,30933,14971,2.06619,0,0,0,0,-nan,0,0,30933,14971,2.06619,0,29921,15450,1.93663,0,29921,15450,1.93663,0,0,0,0,-nan,0,0,29921,15450,1.93663,0,28689,15091,1.90107,0,11294,16833,0.670944,30,11268,16833,0.669399,60,11268,16833,0.669399,65036,34,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs7n50_2.dat,6,51,2,31103,13173,2.36112,0,31103,13173,2.36112,0,13,13,6,0.0357875,0.240623,0.0172161,11206,14025,0.799002,36,29481,12789,2.30518,0,29481,12789,2.30518,0,3,3,0,0,0,0,11229,14107,0.795988,29,32501,12701,2.55893,0,32501,12701,2.55893,0,0,0,0,-nan,0,0,32501,12701,2.55893,0,31951,12830,2.49034,0,31951,12830,2.49034,0,0,0,0,-nan,0,0,31951,12830,2.49034,0,31368,13003,2.41237,0,31368,13003,2.41237,0,0,0,0,-nan,0,0,31368,13003,2.41237,0,30324,13173,2.30198,0,11206,14025,0.799002,30,11229,14107,0.795988,60,11229,14107,0.795988,65945,38,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs8n50_2.dat,6,51,2,33252,11230,2.961,0,33252,11230,2.961,0,9,9,4,0.115789,0.532978,0.0501295,12177,11969,1.01738,24,32983,11456,2.8791,0,32983,11456,2.8791,0,0,0,0,-nan,0,0,12177,11969,1.01738,23,33442,11355,2.94513,0,33442,11355,2.94513,0,0,0,0,-nan,0,0,12177,11969,1.01738,18,33878,11378,2.9775,0,33878,11378,2.9775,0,0,0,0,-nan,0,0,33878,11378,2.9775,0,33755,11199,3.01411,0,33755,11199,3.01411,0,0,0,0,-nan,0,0,33755,11199,3.01411,0,32324,11230,2.87836,0,12177,11969,1.01738,30,12177,11969,1.01738,60,12177,11969,1.01738,67045,1,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs9n50_2.dat,6,51,2,30980,14020,2.2097,0,30980,14020,2.2097,0,11,11,6,0.0795958,0.359348,0.0429701,10437,14511,0.719247,23,31887,14257,2.23659,0,31887,14257,2.23659,0,0,0,0,-nan,0,0,10437,14511,0.719247,20,29755,13367,2.226,0,29755,13367,2.226,0,1,1,0,0,0,0,10377,14511,0.715113,22,31524,13962,2.25784,0,31524,13962,2.25784,0,0,0,0,-nan,0,0,31524,13962,2.25784,0,30143,13558,2.22326,0,30143,13558,2.22326,0,0,0,0,-nan,0,0,30143,13558,2.22326,0,30182,14020,2.15278,0,10437,14511,0.719247,30,10377,14511,0.715113,60,10377,14511,0.715113,68217,51,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_2.dat,6,51,2,30483,13933,2.18783,0,30483,13933,2.18783,0,10,10,2,0.00320224,0.0190024,0.01302,9937,14556,0.682674,24,29707,13990,2.12345,0,29707,13990,2.12345,0,0,0,0,-nan,0,0,9551,13984,0.682995,21,31024,13465,2.30405,0,31024,13465,2.30405,0,0,0,0,-nan,0,0,9803,14354,0.682946,20,28804,13834,2.08212,0,28804,13834,2.08212,0,0,0,0,-nan,0,0,28804,13834,2.08212,0,31731,13566,2.33901,0,31731,13566,2.33901,0,0,0,0,-nan,0,0,31731,13566,2.33901,0,29870,13933,2.14383,0,9937,14556,0.682674,30,9937,14556,0.682674,60,9937,14556,0.682674,69388,2,65,
