,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,FirstImpCost,FirstImpQuantity,FirstImpLogisticRatio,TimeAtFirstImprovement,BestCostAt30s,BestQuantityAt30s,BestLogisticRatioAt30s,TimeAt30s,BestCostAt60s,BestQuantityAt60s,BestLogisticRatioAt60s,TimeAt60s,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_iteration,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n50_2.dat,6,51,2,29305,13537,2.16481,0,29305,13537,2.16481,0,19,19,9,0.088504,0.427844,0.0217897,10958,14753,0.742764,31,29451,13034,2.25955,0,29451,13034,2.25955,0,2,2,1,0.133079,0.266157,0.266157,10653,14653,0.727018,23,29778,13050,2.28184,0,29778,13050,2.28184,0,0,0,0,-nan,0,0,10653,14653,0.727018,11,30669,13703,2.23812,0,30669,13703,2.23812,0,0,0,0,-nan,0,0,30669,13703,2.23812,0,30650,13337,2.29812,0,30650,13337,2.29812,0,0,0,0,-nan,0,0,30650,13337,2.29812,0,28699,13537,2.12004,0,10958,14753,0.742764,30,10653,14653,0.727018,60,10653,14653,0.727018,49722,37,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n50_2.dat,6,51,2,31785,13478,2.35829,0,31785,13478,2.35829,0,10,10,3,0.0519693,0.385967,0.0272072,11718,14846,0.789304,25,33177,13606,2.43841,0,33177,13606,2.43841,0,2,2,0,0,0,0,11541,14792,0.780219,26,34820,13158,2.6463,0,34820,13158,2.6463,0,0,0,0,-nan,0,0,11593,14796,0.783523,14,33040,13105,2.52118,0,33040,13105,2.52118,0,0,0,0,-nan,0,0,33040,13105,2.52118,0,34655,13115,2.64239,0,34655,13115,2.64239,0,0,0,0,-nan,0,0,34655,13115,2.64239,0,31213,13478,2.31585,0,11758,14907,0.788757,30,11541,14792,0.780219,60,11541,14792,0.780219,50868,30,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs3n50_2.dat,6,51,2,29616,13726,2.15766,0,29616,13726,2.15766,0,17,17,5,0.0361337,0.409389,0.00685307,10078,14591,0.6907,31,29322,13564,2.16175,0,29322,13564,2.16175,0,0,0,0,-nan,0,0,10080,14592,0.690789,24,32015,13447,2.38083,0,32015,13447,2.38083,0,0,0,0,-nan,0,0,10080,14592,0.690789,10,28122,13053,2.15445,0,28122,13053,2.15445,0,0,0,0,-nan,0,0,28122,13053,2.15445,0,31055,13120,2.367,0,31055,13120,2.367,0,0,0,0,-nan,0,0,31055,13120,2.367,0,28806,13726,2.09864,0,10078,14592,0.690652,30,10078,14592,0.690652,60,10078,14592,0.690652,51908,8,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs4n50_2.dat,6,51,2,31119,13584,2.29086,0,31119,13584,2.29086,0,15,15,8,0.067973,0.234418,0.0686719,10718,14456,0.741422,25,31760,13552,2.34357,0,31760,13552,2.34357,0,1,1,0,0,0,0,10632,14419,0.73736,24,30578,13595,2.24921,0,30578,13595,2.24921,0,0,0,0,-nan,0,0,10632,14419,0.73736,16,32100,13591,2.36186,0,32100,13591,2.36186,0,0,0,0,-nan,0,0,32100,13591,2.36186,0,30983,13552,2.28623,0,30983,13552,2.28623,0,0,0,0,-nan,0,0,30983,13552,2.28623,0,30579,13584,2.2511,0,10632,14419,0.73736,30,10632,14419,0.73736,60,10632,14419,0.73736,53014,26,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs5n50_2.dat,6,51,2,28891,13374,2.16024,0,28891,13374,2.16024,0,10,10,5,0.0682458,0.245098,0.0202197,9590,13611,0.704577,27,31036,13612,2.28005,0,31036,13612,2.28005,0,0,0,0,-nan,0,0,9590,13611,0.704577,24,32331,13010,2.48509,0,32331,13010,2.48509,0,0,0,0,-nan,0,0,9590,13611,0.704577,14,28365,13045,2.1744,0,28365,13045,2.1744,0,0,0,0,-nan,0,0,28365,13045,2.1744,0,30494,13305,2.29192,0,30494,13305,2.29192,0,0,0,0,-nan,0,0,30494,13305,2.29192,0,28352,13374,2.11993,0,9590,13611,0.704577,30,9590,13611,0.704577,60,9590,13611,0.704577,54011,3,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs6n50_2.dat,6,51,2,29252,15091,1.93837,0,29252,15091,1.93837,0,15,15,5,0.0136345,0.0683612,0.012581,10791,15920,0.677827,25,28934,14790,1.95632,0,28934,14790,1.95632,0,0,0,0,-nan,0,0,10791,15920,0.677827,23,30593,14899,2.05336,0,30593,14899,2.05336,0,0,0,0,-nan,0,0,10791,15920,0.677827,17,30933,14971,2.06619,0,30933,14971,2.06619,0,0,0,0,-nan,0,0,30933,14971,2.06619,0,29921,15450,1.93663,0,29921,15450,1.93663,0,0,0,0,-nan,0,0,29921,15450,1.93663,0,28689,15091,1.90107,0,10791,15920,0.677827,30,10791,15920,0.677827,60,10791,15920,0.677827,55100,4,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs7n50_2.dat,6,51,2,31103,13173,2.36112,0,31103,13173,2.36112,0,12,12,5,0.0476714,0.307107,0.0435983,11321,14636,0.773504,27,29481,12789,2.30518,0,29481,12789,2.30518,0,1,1,1,0.197852,0.197852,0.197852,10894,14111,0.772022,26,32501,12701,2.55893,0,32501,12701,2.55893,0,1,1,0,0,0,0,10887,14152,0.769291,12,31951,12830,2.49034,0,31951,12830,2.49034,0,0,0,0,-nan,0,0,31951,12830,2.49034,0,31368,13003,2.41237,0,31368,13003,2.41237,0,0,0,0,-nan,0,0,31368,13003,2.41237,0,30324,13173,2.30198,0,11321,14636,0.773504,30,10887,14152,0.769291,60,10887,14152,0.769291,56170,53,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs8n50_2.dat,6,51,2,33252,11230,2.961,0,33252,11230,2.961,0,15,15,6,0.0380594,0.280827,0.00839349,12277,11983,1.02453,21,32983,11456,2.8791,0,32983,11456,2.8791,0,0,0,0,-nan,0,0,12277,11983,1.02453,18,33442,11355,2.94513,0,33442,11355,2.94513,0,0,0,0,-nan,0,0,12277,11983,1.02453,19,33878,11378,2.9775,0,33878,11378,2.9775,0,0,0,0,-nan,0,0,12277,11983,1.02453,7,33755,11199,3.01411,0,33755,11199,3.01411,0,0,0,0,-nan,0,0,33755,11199,3.01411,0,32324,11230,2.87836,0,12277,11983,1.02453,30,12277,11983,1.02453,60,12277,11983,1.02453,57453,3,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs9n50_2.dat,6,51,2,30980,14020,2.2097,0,30980,14020,2.2097,0,12,12,4,0.0478824,0.268817,0.00643791,10820,15691,0.689567,19,31887,14257,2.23659,0,31887,14257,2.23659,0,6,6,1,0.0760644,0.456386,0.456386,10576,15617,0.677211,23,29755,13367,2.226,0,29755,13367,2.226,0,0,0,0,-nan,0,0,10576,15617,0.677211,20,31524,13962,2.25784,0,31524,13962,2.25784,0,0,0,0,-nan,0,0,10576,15617,0.677211,3,30143,13558,2.22326,0,30143,13558,2.22326,0,0,0,0,-nan,0,0,30143,13558,2.22326,0,30182,14020,2.15278,0,10576,15617,0.677211,30,10576,15617,0.677211,60,10576,15617,0.677211,58784,24,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_2.dat,6,51,2,30483,13933,2.18783,0,30483,13933,2.18783,0,16,16,7,0.0874048,0.740643,0.00644787,10282,15167,0.677919,24,29707,13990,2.12345,0,29707,13990,2.12345,0,0,0,0,-nan,0,0,10282,15167,0.677919,18,31024,13465,2.30405,0,31024,13465,2.30405,0,0,0,0,-nan,0,0,10282,15167,0.677919,17,28804,13834,2.08212,0,28804,13834,2.08212,0,0,0,0,-nan,0,0,10282,15167,0.677919,6,31731,13566,2.33901,0,31731,13566,2.33901,0,0,0,0,-nan,0,0,31731,13566,2.33901,0,29870,13933,2.14383,0,10282,15167,0.677919,30,10282,15167,0.677919,60,10282,15167,0.677919,60172,10,65,
