,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfFeasibleRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,RebalanceMaxPercentageImprovement,RebalanceMinPercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,FirstImpCost,FirstImpQuantity,FirstImpLogisticRatio,TimeAtFirstImprovement,BestCostAt30s,BestQuantityAt30s,BestLogisticRatioAt30s,TimeAt30s,BestCostAt60s,BestQuantityAt60s,BestLogisticRatioAt60s,TimeAt60s,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_iteration,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n50_2.dat,6,51,2,29305,13537,2.16481,0,29305,13537,2.16481,0,12,12,8,0.077422,0.25788,0.0217897,11068,14113,0.784241,29,29451,13034,2.25955,0,29451,13034,2.25955,0,0,0,0,-nan,0,0,11072,14013,0.790123,23,29778,13050,2.28184,0,29778,13050,2.28184,0,0,0,0,-nan,0,0,11072,14013,0.790123,13,30669,13703,2.23812,0,30669,13703,2.23812,0,0,0,0,-nan,0,0,30669,13703,2.23812,0,30650,13337,2.29812,0,30650,13337,2.29812,0,0,0,0,-nan,0,0,30650,13337,2.29812,0,28699,13537,2.12004,0,11066,14123,0.783545,30,11066,14123,0.783545,60,11066,14123,0.783545,107489,6,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n50_2.dat,6,51,2,31785,13478,2.35829,0,31785,13478,2.35829,0,16,16,7,0.0777646,0.475656,0.0133058,11813,15065,0.784135,19,33177,13606,2.43841,0,33177,13606,2.43841,0,0,0,0,-nan,0,0,11773,14999,0.784919,16,34820,13158,2.6463,0,34820,13158,2.6463,0,0,0,0,-nan,0,0,11773,14999,0.784919,17,33040,13105,2.52118,0,33040,13105,2.52118,0,0,0,0,-nan,0,0,11773,14999,0.784919,13,34655,13115,2.64239,0,34655,13115,2.64239,0,0,0,0,-nan,0,0,34655,13115,2.64239,0,31213,13478,2.31585,0,11813,15137,0.780406,30,11813,15137,0.780406,60,11813,15137,0.780406,109069,7,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs3n50_2.dat,6,51,2,29616,13726,2.15766,0,29616,13726,2.15766,0,8,8,3,0.133756,0.834627,0.0205269,10794,14612,0.738708,25,29322,13564,2.16175,0,29322,13564,2.16175,0,5,5,2,0.0981009,0.34867,0.141834,10377,14785,0.70186,31,32015,13447,2.38083,0,32015,13447,2.38083,0,1,1,0,0,0,0,10392,14864,0.699139,9,28122,13053,2.15445,0,28122,13053,2.15445,0,0,0,0,-nan,0,0,28122,13053,2.15445,0,31055,13120,2.367,0,31055,13120,2.367,0,0,0,0,-nan,0,0,31055,13120,2.367,0,28806,13726,2.09864,0,10794,14615,0.738556,30,10392,14864,0.699139,60,10392,14864,0.699139,110114,56,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs4n50_2.dat,6,51,2,31119,13584,2.29086,0,31119,13584,2.29086,0,12,12,5,0.0920789,0.371364,0.00933445,10784,15205,0.70924,23,31760,13552,2.34357,0,31760,13552,2.34357,0,0,0,0,-nan,0,0,10914,15236,0.71633,19,30578,13595,2.24921,0,30578,13595,2.24921,0,0,0,0,-nan,0,0,10914,15236,0.71633,22,32100,13591,2.36186,0,32100,13591,2.36186,0,0,0,0,-nan,0,0,10448,14116,0.740153,1,30983,13552,2.28623,0,30983,13552,2.28623,0,0,0,0,-nan,0,0,30983,13552,2.28623,0,30579,13584,2.2511,0,10784,15205,0.70924,30,10784,15205,0.70924,60,10784,15205,0.70924,111358,5,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs5n50_2.dat,6,51,2,28891,13374,2.16024,0,28891,13374,2.16024,0,18,18,8,0.105133,0.568606,0.0143606,10316,14379,0.717435,37,31036,13612,2.28005,0,31036,13612,2.28005,0,0,0,0,-nan,0,0,10321,14379,0.717783,26,32331,13010,2.48509,0,32331,13010,2.48509,0,0,0,0,-nan,0,0,10321,14379,0.717783,2,28365,13045,2.1744,0,28365,13045,2.1744,0,0,0,0,-nan,0,0,28365,13045,2.1744,0,30494,13305,2.29192,0,30494,13305,2.29192,0,0,0,0,-nan,0,0,30494,13305,2.29192,0,28352,13374,2.11993,0,10316,14379,0.717435,30,10316,14379,0.717435,60,10316,14379,0.717435,112296,12,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs6n50_2.dat,6,51,2,29252,15091,1.93837,0,29252,15091,1.93837,0,9,9,2,0.0159964,0.131472,0.0124953,10755,15537,0.692219,26,28934,14790,1.95632,0,28934,14790,1.95632,0,0,0,0,-nan,0,0,10755,15537,0.692219,24,30593,14899,2.05336,0,30593,14899,2.05336,0,0,0,0,-nan,0,0,10755,15537,0.692219,15,30933,14971,2.06619,0,30933,14971,2.06619,0,0,0,0,-nan,0,0,30933,14971,2.06619,0,29921,15450,1.93663,0,29921,15450,1.93663,0,0,0,0,-nan,0,0,29921,15450,1.93663,0,28689,15091,1.90107,0,10755,15537,0.692219,30,10755,15537,0.692219,60,10755,15537,0.692219,113321,4,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs7n50_2.dat,6,51,2,31103,13173,2.36112,0,31103,13173,2.36112,0,17,17,6,0.0337288,0.365134,0.0300797,12236,14949,0.818516,33,29481,12789,2.30518,0,29481,12789,2.30518,0,2,2,0,0,0,0,12223,14966,0.816718,24,32501,12701,2.55893,0,32501,12701,2.55893,0,0,0,0,-nan,0,0,12223,14966,0.816718,8,31951,12830,2.49034,0,31951,12830,2.49034,0,0,0,0,-nan,0,0,31951,12830,2.49034,0,31368,13003,2.41237,0,31368,13003,2.41237,0,0,0,0,-nan,0,0,31368,13003,2.41237,0,30324,13173,2.30198,0,12236,14949,0.818516,30,12223,14966,0.816718,60,12223,14966,0.816718,114343,34,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs8n50_2.dat,6,51,2,33252,11230,2.961,0,33252,11230,2.961,0,11,11,8,0.0888263,0.291502,0.0354057,12412,12460,0.996148,24,32983,11456,2.8791,0,32983,11456,2.8791,0,0,0,0,-nan,0,0,12412,12474,0.99503,21,33442,11355,2.94513,0,33442,11355,2.94513,0,0,0,0,-nan,0,0,12412,12474,0.99503,20,33878,11378,2.9775,0,33878,11378,2.9775,0,0,0,0,-nan,0,0,33878,11378,2.9775,0,33755,11199,3.01411,0,33755,11199,3.01411,0,0,0,0,-nan,0,0,33755,11199,3.01411,0,32324,11230,2.87836,0,12412,12474,0.99503,30,12412,12474,0.99503,60,12412,12474,0.99503,115532,4,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs9n50_2.dat,6,51,2,30980,14020,2.2097,0,30980,14020,2.2097,0,7,7,2,0.0442285,0.234314,0.0752857,11034,15643,0.705363,27,31887,14257,2.23659,0,31887,14257,2.23659,0,3,3,0,0,0,0,10786,15589,0.691898,24,29755,13367,2.226,0,29755,13367,2.226,0,2,2,0,0,0,0,10772,15643,0.688615,14,31524,13962,2.25784,0,31524,13962,2.25784,0,0,0,0,-nan,0,0,31524,13962,2.25784,0,30143,13558,2.22326,0,30143,13558,2.22326,0,0,0,0,-nan,0,0,30143,13558,2.22326,0,30182,14020,2.15278,0,10793,15544,0.694352,30,10772,15643,0.688615,60,10772,15643,0.688615,116647,59,65,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_2.dat,6,51,2,30483,13933,2.18783,0,30483,13933,2.18783,0,15,15,6,0.0576529,0.376213,0.0064792,10545,15018,0.702157,28,29707,13990,2.12345,0,29707,13990,2.12345,0,1,1,0,0,0,0,10561,15053,0.701588,22,31024,13465,2.30405,0,31024,13465,2.30405,0,1,1,0,0,0,0,10543,15053,0.700392,15,28804,13834,2.08212,0,28804,13834,2.08212,0,0,0,0,-nan,0,0,28804,13834,2.08212,0,31731,13566,2.33901,0,31731,13566,2.33901,0,0,0,0,-nan,0,0,31731,13566,2.33901,0,29870,13933,2.14383,0,10545,15018,0.702157,30,10543,15053,0.700392,60,10543,15053,0.700392,117818,56,65,
