,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_4.dat,6,51,5,46330.3,13878,3.3384,0,17001.3,13878,1.22506,14,42940.4,13871,3.09569,0,17410.4,13871,1.25516,14,48901.7,13678,3.57521,0,17548.4,13678,1.28297,15,43427.4,13864,3.13238,0,17287.8,13864,1.24696,14,47502.2,13642,3.48206,0,17241.2,13642,1.26383,15,41227.5,13491,3.05593,0,16932.8,13491,1.25512,13,44647.1,13287,3.36021,0,16651.1,13287,1.25318,13,48566.2,13622,3.56528,0,17032.3,13622,1.25035,15,47310.8,13598,3.47925,0,17382,13598,1.27828,15,43587.9,14054,3.10146,0,17078,14054,1.21517,13
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_5.dat,6,51,6,47030.4,13147,3.57727,0,19052.5,13147,1.44919,16,46612.5,13473,3.45969,0,18844.4,13473,1.39868,15,45441.5,13863,3.2779,0,19348.6,13863,1.3957,14,45392.3,13378,3.39306,0,18961.5,13378,1.41736,16,44264.9,13729,3.22419,0,18977.2,13729,1.38227,15,47473.8,13853,3.42697,0,19207.3,13853,1.38651,15,45519.5,13476,3.37782,0,19035.4,13476,1.41254,14,48047.3,13454,3.57123,0,18994.5,13454,1.41181,14,50471.4,14064,3.5887,0,19428.4,14064,1.38143,16,45178.7,13647,3.31052,0,19135.1,13647,1.40214,15
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n100_2.dat,6,101,3,85213.8,28451,2.99511,0,18121.6,28451,0.636942,20,84768.1,28085,3.01827,0,17957.1,28085,0.639386,21,77775.3,27693,2.80848,0,17511.9,27693,0.63236,20,81845.7,28865,2.83547,0,17701,28865,0.613233,22,82419.8,28453,2.8967,0,17364,28453,0.61027,20,86099.5,27990,3.07608,0,17999.4,27990,0.643067,21,82679.9,28420,2.90922,0,17856.6,28420,0.628313,21,85318.4,28481,2.99562,0,17592,28481,0.617675,20,78428.5,28560,2.7461,0,17881.8,28560,0.626115,20,87909.8,28074,3.13136,0,17474.6,28074,0.622447,21
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n100_3.dat,6,101,4,84861,28084,3.02169,0,18825.2,28084,0.670316,26,83479.5,27563,3.02868,0,18584.5,27563,0.674255,25,76316.1,28138,2.71221,0,18427.6,28138,0.6549,25,85646.1,27772,3.0839,0,18088.1,27772,0.651309,26,76562.9,28635,2.67375,0,18654.2,28635,0.651447,25,89383.8,28371,3.15053,0,19028.9,28371,0.670716,26,86153,27852,3.09324,0,18379.9,27852,0.659912,25,85707.4,28224,3.03668,0,18693.6,28224,0.66233,26,84498.7,27850,3.03407,0,18704.8,27850,0.671626,26,84159.2,28342,2.96942,0,18765.6,28342,0.662112,27
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n100_4.dat,6,101,5,84682.5,28319,2.99031,0,19619.6,28319,0.692808,28,89929,28376,3.16919,0,20431,28376,0.72001,29,85894.3,27706,3.10021,0,20017.7,27706,0.722506,28,85982.5,28018,3.06883,0,19797.8,28018,0.706609,29,84321.6,27809,3.03217,0,19474.8,27809,0.700304,27,77068.9,28605,2.69425,0,19830.1,28605,0.69324,29,84240.3,27826,3.02739,0,19699.6,27826,0.707958,27,82394.2,27620,2.98313,0,19558.5,27620,0.70813,26,83307,27941,2.98153,0,19727.5,27941,0.706043,28,89269.9,28556,3.12613,0,20427.7,28556,0.715355,29
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n100_5.dat,6,101,6,81992.6,28449,2.88209,0,21300.9,28449,0.748738,27,85307,28275,3.01705,0,21497.1,28275,0.760288,30,86998.9,27767,3.13318,0,20797.1,27767,0.748987,29,87834,27986,3.1385,0,21266.7,27986,0.759904,29,83363.7,28874,2.88715,0,21064,28874,0.729516,29,82590.4,28089,2.94031,0,20909.3,28089,0.744393,28,79980.9,27802,2.87681,0,20943,27802,0.75329,29,79224.3,28327,2.79678,0,21631.1,28327,0.76362,29,81929.3,28359,2.88901,0,20917,28359,0.737578,29,86252.6,28127,3.06654,0,21456.1,28127,0.762828,30
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n200_2.dat,6,201,3,154166,57080,2.70087,0,23605.1,57080,0.413545,44,145584,56733,2.56612,0,23333.6,56733,0.411288,42,154351,58119,2.65577,0,23430.9,58119,0.403154,44,156551,57350,2.72975,0,23791.7,57350,0.414851,44,151538,57500,2.63544,0,23656.2,57500,0.411413,45,150903,57821,2.60983,0,23210.1,57821,0.401413,54,152361,57633,2.64364,0,23523.9,57633,0.408166,49,152574,58883,2.59113,0,23841.1,58883,0.40489,51,154507,57309,2.69603,0,24035.4,57309,0.419401,52,150988,57796,2.61242,0,23742.5,57796,0.410799,53
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n200_3.dat,6,201,4,152902,57541,2.65727,0,24006.9,57541,0.417213,75,155360,57589,2.69773,0,24352,57589,0.422859,61,152457,59103,2.57951,0,23988,59103,0.405867,48,149763,57995,2.58234,0,24423.2,57995,0.421126,52,154593,57892,2.67037,0,23742.4,57892,0.410116,50,156669,57179,2.73998,0,24037.9,57179,0.420398,52,155247,57595,2.6955,0,24604.8,57595,0.427204,60,152592,57092,2.67274,0,23896.9,57092,0.418568,50,153001,57229,2.67349,0,24116.2,57229,0.421399,57,153604,57951,2.65058,0,24262.9,57951,0.41868,55
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n200_4.dat,6,201,5,154052,55933,2.75422,0,24684.8,55933,0.441329,60,155188,57094,2.71812,0,24931.4,57094,0.436673,57,148903,57420,2.59323,0,24514.9,57420,0.42694,56,151610,59093,2.56561,0,25216.1,59093,0.426719,62,153586,58911,2.60709,0,24739.5,58911,0.419948,55,148519,56492,2.62902,0,24308.9,56492,0.430307,60,159056,57679,2.7576,0,24519.5,57679,0.425103,56,150805,58075,2.59673,0,24847.4,58075,0.42785,58,160827,57204,2.81146,0,24351.6,57204,0.425698,57,154433,57033,2.70778,0,24593.8,57033,0.43122,55
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n200_5.dat,6,201,6,158038,57450,2.75087,0,25497.6,57450,0.443823,60,157431,57682,2.7293,0,25421.1,57682,0.440711,67,155671,57681,2.69883,0,25440.2,57681,0.441049,62,152672,56541,2.70019,0,25099.9,56541,0.443923,61,149450,57630,2.59327,0,25263.6,57630,0.438376,59,153104,57507,2.66236,0,25274.8,57507,0.439509,59,150851,58048,2.59873,0,25148.7,58048,0.43324,61,156355,58084,2.69188,0,25630.5,58084,0.441266,61,162441,56161,2.89241,0,25686.4,56161,0.45737,58,158210,57381,2.75719,0,25569.6,57381,0.445611,61
